Player Name,Team,Total Points,Position,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
Aaron Mooy 199,Huddersfield,76,MID,3,1,3,4,0,48,0,0,0,0,5
Jordan Henderson 249,Liverpool,76,MID,1,3,12,1,1,14,0,0,0,0,2
Moussa Sissoko 369,Spurs,76,MID,0,3,11,2,0,28,0,0,0,0,3
Josh Murphy 106,Cardiff,76,MID,3,2,7,2,0,32,0,0,0,0,3
Wes Morgan 215,Leicester,76,DEF,3,0,6,1,2,28,0,0,0,0,7
Stuart Armstrong 345,Southampton,75,MID,3,4,5,2,0,26,0,0,0,0,3
Jefferson Lerma 494,Bournemouth,75,MID,2,2,9,12,0,49,1,0,0,0,6
Ryan Babel 575,Fulham,75,MID,5,4,3,3,0,26,0,0,0,0,8
André Schürrle 478,Fulham,75,MID,6,0,2,2,0,43,0,0,0,0,2
Dwight McNeil 534,Burnley,75,MID,3,4,5,2,0,25,0,0,0,0,6
Anthony Knockaert 55,Brighton,74,MID,2,6,3,4,1,41,0,0,0,0,2
Jeff Hendrick 78,Burnley,73,MID,2,2,4,4,0,44,0,0,0,0,3
Alex McCarthy 328,Southampton,73,GK,0,0,4,1,0,44,0,0,0,78,6
Ashley Young 293,Man Utd,73,DEF,2,3,4,8,1,44,0,0,0,0,4
Davy Pröpper 60,Brighton,72,MID,1,1,4,2,0,45,0,0,0,0,3
Jean Michael Seri 456,Fulham,72,MID,1,3,3,6,0,54,0,0,0,0,6
Tom Cairney 182,Fulham,71,MID,1,1,5,0,0,51,0,0,0,0,3
Nicolás Otamendi 264,Man City,70,DEF,0,0,9,1,0,7,0,0,0,0,5
Adam Smith 29,Bournemouth,70,DEF,1,1,8,5,1,33,0,0,0,0,1
Juan Mata 297,Man Utd,70,MID,3,4,5,3,0,15,0,0,0,0,7
Isaac Hayden 323,Newcastle,69,MID,1,4,7,3,1,25,0,0,0,0,5
Alex Pritchard 206,Huddersfield,69,MID,2,0,7,2,0,40,0,0,0,0,2
Joe Hart 490,Burnley,69,GK,0,0,4,0,0,41,0,0,1,77,7
Steve Mounie 211,Huddersfield,69,FWD,2,4,5,1,1,38,0,0,0,0,4
Wayne Hennessey 135,Crystal Palace,67,GK,0,0,5,0,0,26,0,0,1,44,6
Jan Vertonghen 355,Spurs,67,DEF,1,0,6,3,1,23,0,0,0,0,7
Erik Lamela 363,Spurs,67,MID,4,4,4,2,0,12,0,0,0,0,5
Paul Dummett 313,Newcastle,67,DEF,0,0,7,1,0,27,0,0,0,0,3
Cheikhou Kouyaté 412,Crystal Palace,67,MID,0,3,9,3,0,30,0,0,0,0,0
Mathias Jorgensen 195,Huddersfield,67,DEF,3,1,3,6,0,38,0,0,0,0,4
Naby Keita 256,Liverpool,67,MID,2,1,10,0,0,8,0,0,0,0,3
Francisco Femenía Far 383,Watford,66,DEF,1,1,4,1,0,40,0,0,0,0,6
Ben Davies 356,Spurs,66,DEF,0,0,6,2,0,26,0,0,0,0,5
Shane Long 347,Southampton,66,FWD,5,2,2,3,0,24,0,0,0,0,5
Dale Stephens 56,Brighton,65,MID,1,1,5,6,1,46,0,0,0,0,4
Aron Gunnarsson 102,Cardiff,65,MID,1,1,6,5,0,40,0,0,0,0,3
Fabio Henrique Tavares 255,Liverpool,65,MID,1,2,11,6,0,14,0,0,0,0,0
André Filipe Tavares Gomes 508,Everton,64,MID,1,2,9,7,0,28,0,0,0,0,2
Mateo Kovacic 499,Chelsea,64,MID,0,2,9,3,0,19,0,0,0,0,2
Sokratis Papastathopoulos 12,Arsenal,64,DEF,1,2,5,12,0,33,0,0,0,0,4
Philip Billing 202,Huddersfield,63,MID,2,0,5,7,0,43,0,0,0,0,4
Youri Tielemans 591,Leicester,63,MID,3,5,3,2,0,14,0,0,0,0,6
Asmir Begovic 24,Bournemouth,63,GK,0,0,5,0,0,47,0,0,0,59,4
DeAndre Yedlin 310,Newcastle,63,DEF,1,2,5,6,1,41,1,0,0,0,1
Marc Albrighton 224,Leicester,63,MID,2,2,5,3,0,17,0,0,0,0,4
Nathaniel Mendez-Laing 100,Cardiff,63,MID,4,1,4,0,0,18,0,0,0,0,6
Dejan Lovren 239,Liverpool,63,DEF,1,1,6,1,0,7,0,0,0,0,9
Ander Herrera 299,Man Utd,62,MID,2,3,5,4,0,18,0,0,0,0,6
Laurent Koscielny 3,Arsenal,62,DEF,3,0,3,1,0,23,0,0,0,0,8
Fabián Balbuena 464,West Ham,61,DEF,1,0,5,2,0,32,0,0,0,0,3
Terence Kongolo 198,Huddersfield,60,DEF,1,1,4,4,0,65,1,0,0,0,4
Calum Chambers 9,Fulham,60,DEF,2,0,5,9,0,52,0,0,0,0,0
Max Meyer 486,Crystal Palace,60,MID,1,3,6,3,0,24,0,0,0,0,0
Héctor Bellerín 4,Arsenal,60,DEF,0,5,4,3,0,21,1,0,0,0,5
Benjamin Mendy 267,Man City,59,DEF,0,6,4,1,0,6,0,0,0,0,6
Nemanja Matic 296,Man Utd,59,MID,1,0,6,6,1,37,0,0,0,0,2
Kevin De Bruyne 273,Man City,59,MID,2,3,6,2,0,3,0,0,0,0,8
Tom Heaton 67,Burnley,58,GK,0,0,4,3,0,27,0,0,0,63,4
Kelechi Iheanacho 236,Leicester,58,FWD,1,5,1,2,0,16,0,0,0,0,3
Nampalys Mendy 527,Leicester,58,MID,0,1,7,5,0,29,0,0,0,0,0
Vincent Kompany 263,Man City,58,DEF,1,0,6,6,0,7,0,0,0,0,4
Adrian Mariappa 382,Watford,57,DEF,0,0,5,3,0,32,0,0,0,0,2
Junior Stanislas 36,Bournemouth,56,MID,2,3,2,1,0,24,0,0,0,0,3
Eric Dier 361,Spurs,56,MID,3,0,5,4,0,18,0,0,0,0,3
Mohamed Diamé 319,Newcastle,56,MID,0,0,7,3,0,32,0,0,0,0,0
Ryan Bertrand 330,Southampton,56,DEF,1,0,6,8,0,42,0,0,0,0,1
Cenk Tosun 177,Everton,56,FWD,3,3,1,3,0,17,0,0,0,0,3
Pablo Zabaleta 405,West Ham,56,DEF,0,1,4,4,0,35,0,0,0,0,4
Chris Smalling 284,Man Utd,56,DEF,1,0,4,1,0,36,1,0,0,0,3
Christian Atsu 320,Newcastle,55,MID,1,1,6,2,0,18,0,0,0,0,0
Olivier Giroud 133,Chelsea,55,FWD,2,4,6,1,0,5,0,0,0,0,2
Oriol Romeu Vidal 339,Southampton,55,MID,1,0,6,11,0,37,0,0,0,0,3
Joseph Gomez 242,Liverpool,55,DEF,0,0,7,2,0,4,0,0,0,0,2
Yan Valery 556,Southampton,54,DEF,2,1,3,3,1,30,0,0,0,0,0
Dan Gosling 37,Bournemouth,54,MID,2,2,4,8,0,33,0,0,0,0,0
Jonathan Hogg 201,Huddersfield,54,MID,0,1,5,8,1,44,0,0,0,0,3
Gonzalo Higuaín 579,Chelsea,53,FWD,5,0,5,0,0,15,0,0,0,0,6
Javier Manquillo 315,Newcastle,53,DEF,0,3,4,2,0,16,0,0,0,0,5
Harry Winks 368,Spurs,53,MID,1,0,6,4,0,17,0,0,0,0,3
Hélder Costa 435,Wolves,52,MID,1,2,5,3,0,19,0,0,0,0,0
Cédric Soares 332,Southampton,52,DEF,1,2,4,4,0,31,0,0,0,0,7
Jürgen Locadia 65,Brighton,52,FWD,2,0,3,1,0,21,0,0,0,0,6
Joe Bryan 510,Fulham,52,DEF,0,1,5,5,0,54,1,0,0,0,4
Mario Lemina 344,Southampton,50,MID,1,2,4,5,0,37,0,0,0,0,2
Daryl Janmaat 381,Watford,50,DEF,0,2,3,3,0,22,0,0,0,0,6
Tim Ream 180,Fulham,50,DEF,0,0,5,1,0,49,0,0,0,0,4
Robert Kenedy Nunes do Nascimento 458,Newcastle,50,MID,1,1,6,1,0,18,0,1,0,0,1
Jannik Vestergaard 463,Southampton,50,DEF,0,0,4,2,0,31,0,0,0,0,0
Florent Hadergjonaj 197,Huddersfield,50,DEF,0,0,4,1,0,36,0,0,0,0,1
Chris Löwe 193,Huddersfield,49,DEF,0,4,1,2,0,55,0,0,0,0,6
Erik Durm 461,Huddersfield,49,DEF,0,1,3,0,0,45,0,0,0,0,2
Arthur Masuaku 410,West Ham,49,MID,0,2,4,2,0,29,0,0,0,0,0
Jan Bednarek 335,Southampton,49,DEF,0,1,3,7,0,37,0,0,0,0,3
Harry Arter 33,Cardiff,48,MID,0,1,7,10,0,39,0,0,0,0,0
Angelo Ogbonna 403,West Ham,48,DEF,1,1,2,2,0,36,0,0,0,0,2
Ivan Cavaleiro 434,Wolves,48,MID,3,1,1,1,0,11,0,0,0,0,3
Gaëtan Bong 51,Brighton,48,DEF,0,0,5,0,0,34,0,0,0,0,0
Michy Batshuayi 592,Crystal Palace,48,FWD,5,1,3,0,0,11,0,0,0,0,5
Sam Vokes 84,Burnley,48,FWD,3,0,2,0,0,20,0,0,0,0,7
Leander Dendoncker 519,Wolves,48,MID,2,0,3,1,0,21,0,0,0,0,1
Romain Saïss 426,Wolves,47,DEF,2,0,3,7,0,17,0,0,0,0,5
Luciano Vietto 513,Fulham,47,FWD,1,4,1,1,0,21,0,0,0,0,4
Jack Stephens 333,Southampton,47,DEF,1,0,3,4,0,35,0,0,0,0,4
Matteo Guendouzi 451,Arsenal,47,MID,0,0,3,9,0,32,0,0,0,0,0
Alexis Sánchez 295,Man Utd,47,MID,1,5,2,3,0,10,0,0,0,0,1
Federico Fernández 516,Newcastle,47,DEF,0,2,3,2,0,24,0,0,0,0,5
Angus Gunn 452,Southampton,47,GK,0,0,3,0,0,18,0,0,1,33,4
Bruno Saltor Grau 50,Brighton,46,DEF,0,1,4,2,0,17,0,0,0,0,7
Artur Boruc 25,Bournemouth,46,GK,0,0,4,2,0,18,0,0,0,39,4
Jordan Ayew 505,Crystal Palace,46,FWD,1,3,5,3,0,13,0,0,0,0,2
